date,order_id,product,category,region,quantity,unit_price,total_amount
2024-04-24,ORD-000001,Laptop Pro,Electronics,South,2,1189.85,2379.7
2024-01-17,ORD-000002,Gaming Console,Electronics,North,4,404.32,1617.28
2024-01-14,ORD-000003,Tablet X,Electronics,South,5,579.18,2895.9
2024-05-22,ORD-000004,Voice Assistant,Smart Home,North,5,78.49,392.45
2024-04-20,ORD-000005,Laptop Stand,Accessories,East,2,33.81,67.62
2024-06-25,ORD-000006,Laptop Pro,Electronics,East,3,755.9,2267.7
2024-02-10,ORD-000007,"Smart TV 55""",Electronics,East,4,943.46,3773.84
2024-01-24,ORD-000008,Smart Bulb Pack,Smart Home,South,1,157.01,157.01
2024-07-13,ORD-000009,Wireless Headphones,Audio,East,1,303.69,303.69
2024-04-17,ORD-000010,AR Glasses,Wearables,East,3,123.18,369.54
2024-05-05,ORD-000011,Gaming Console,Electronics,South,5,1061.96,5309.8
2024-04-22,ORD-000012,Smart Ring,Wearables,East,5,171.47,857.35
2024-07-24,ORD-000013,Tablet X,Electronics,East,3,1286.15,3858.45
2024-06-10,ORD-000014,Tablet X,Electronics,South,5,1395.75,6978.75
2024-03-14,ORD-000015,Smart Ring,Wearables,East,4,448.1,1792.4
2024-05-14,ORD-000016,Phone Case,Accessories,West,5,62.14,310.7
2024-09-17,ORD-000017,Voice Assistant,Smart Home,West,2,109.63,219.26
2024-11-17,ORD-000018,Laptop Pro,Electronics,South,2,1333.31,2666.62
2024-11-01,ORD-000019,Health Monitor,Wearables,West,4,78.58,314.32
2024-12-14,ORD-000020,Smart Bulb Pack,Smart Home,North,1,243.63,243.63
2024-02-27,ORD-000021,Smart Bulb Pack,Smart Home,East,3,199.08,597.24
2024-09-13,ORD-000022,Fitness Tracker,Wearables,South,3,254.17,762.51
2024-11-23,ORD-000023,Smart Thermostat,Smart Home,South,3,221.5,664.5
2024-09-28,ORD-000024,Screen Protector,Accessories,North,5,63.37,316.85
2024-07-04,ORD-000025,Smart Bulb Pack,Smart Home,East,1,137.48,137.48
2024-02-10,ORD-000026,USB-C Hub,Accessories,North,5,26.85,134.25
2024-03-05,ORD-000027,Smartwatch Series 5,Wearables,South,5,490.08,2450.4
2024-11-06,ORD-000028,Health Monitor,Wearables,West,5,124.3,621.5
2024-12-31,ORD-000029,Keyboard Cover,Accessories,East,2,62.86,125.72
2024-08-19,ORD-000030,AR Glasses,Wearables,North,5,247.14,1235.7
2024-10-28,ORD-000031,Phone Case,Accessories,South,1,14.47,14.47
2024-04-27,ORD-000032,Security Camera,Smart Home,North,1,31.57,31.57
2024-05-22,ORD-000033,Smartphone Ultra,Electronics,West,2,385.02,770.04
2024-10-22,ORD-000034,Keyboard Cover,Accessories,West,5,19.25,96.25
2024-02-18,ORD-000035,Laptop Stand,Accessories,North,2,66.51,133.02
2024-01-28,ORD-000036,AR Glasses,Wearables,North,4,240.6,962.4
2024-05-07,ORD-000037,"Smart TV 55""",Electronics,South,1,1173.85,1173.85
2024-04-03,ORD-000038,Keyboard Cover,Accessories,East,4,41.39,165.56
2024-08-14,ORD-000039,Fitness Tracker,Wearables,North,1,443.51,443.51
2024-05-01,ORD-000040,Gaming Console,Electronics,South,1,1303.22,1303.22
2024-01-31,ORD-000041,Smart Ring,Wearables,South,4,266.6,1066.4
2024-08-20,ORD-000042,Smartwatch Series 5,Wearables,East,3,493.38,1480.14
2024-03-20,ORD-000043,Health Monitor,Wearables,South,4,347.83,1391.32
2024-10-04,ORD-000044,Bluetooth Speaker,Audio,North,5,339.98,1699.9
2024-09-14,ORD-000045,Wireless Headphones,Audio,South,4,46.04,184.16
2024-02-05,ORD-000046,Gaming Console,Electronics,North,2,396.12,792.24
2024-05-06,ORD-000047,Laptop Stand,Accessories,North,5,18.38,91.9
2024-10-16,ORD-000048,Smart Thermostat,Smart Home,East,5,122.22,611.1
2024-05-02,ORD-000049,Bluetooth Speaker,Audio,East,3,244.3,732.9
2024-08-22,ORD-000050,Fitness Tracker,Wearables,East,3,352.25,1056.75
2024-02-21,ORD-000051,Laptop Pro,Electronics,North,5,849.93,4249.65
2024-06-27,ORD-000052,Security Camera,Smart Home,North,2,141.28,282.56
2024-10-05,ORD-000053,Screen Protector,Accessories,East,4,29.94,119.76
2024-06-02,ORD-000054,Smart Lock,Smart Home,North,5,31.71,158.55
2024-10-10,ORD-000055,Screen Protector,Accessories,South,1,18.07,18.07
2024-04-14,ORD-000056,Earbuds Pro,Audio,East,3,223.54,670.62
2024-02-17,ORD-000057,Voice Assistant,Smart Home,West,1,85.24,85.24
2024-11-22,ORD-000058,Wireless Headphones,Audio,East,2,31.12,62.24
2024-10-14,ORD-000059,Laptop Stand,Accessories,North,4,48.61,194.44
2024-10-06,ORD-000060,Laptop Pro,Electronics,North,2,1434.05,2868.1
2024-03-06,ORD-000061,Studio Microphone,Audio,North,4,206.8,827.2
2024-07-02,ORD-000062,Earbuds Pro,Audio,South,1,317.66,317.66
2024-07-27,ORD-000063,USB-C Hub,Accessories,South,5,34.75,173.75
2024-07-30,ORD-000064,Phone Case,Accessories,North,2,78.32,156.64
